Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Composing Like an Ancient Chinese Poet: Learn to Generate Rhythmic Chinese Poetry","Journal of Computer Science and Technology","","38","6","10.1007/s11390-023-1295-1","Ming HeYan ChenHong-Ke ZhaoQi LiuLe WuYu CuiGui-Hua ZengGui-Quan Liu","2023","http://link.springer.com/article/10.1007/s11390-023-1295-1","Article"
"Computational Approaches for Traditional Chinese Painting: From the “Six Principles of Painting” Perspective","Journal of Computer Science and Technology","","39","2","10.1007/s11390-024-3408-x","Wei Zhang 张　玮Jian-Wei Zhang 张建伟Kam-Kwai Wong 黄锦畦Yi-Fang Wang 王懿芳Ying-Chao-Jie Feng 封颖超杰Lu-Wei Wang 王璐玮Wei Chen 陈　为","2024","http://link.springer.com/article/10.1007/s11390-024-3408-x","Article"
"On the Security of Smart Home Systems: A Survey","Journal of Computer Science and Technology","","38","2","10.1007/s11390-023-2488-3","Bin YuanJun WanYu-Han WuDe-Qing ZouHai Jin","2023","http://link.springer.com/article/10.1007/s11390-023-2488-3","Article"
"Mathematical analysis behind occlusion handling in image with deep learning","International Journal of Information Technology","","15","7","10.1007/s41870-023-01408-2","Suchita A. ChavanNandini M. ChaudhariRakesh J. RamtekeUmesh B. Pawar","2023","http://link.springer.com/article/10.1007/s41870-023-01408-2","Article"
"Robust multi-domain descriptive text classification leveraging conventional and hybrid deep learning models","International Journal of Information Technology","","16","5","10.1007/s41870-023-01559-2","Shovan BhowmikSharmin SultanaAhmed Arian SajidSaha RenoAakash Manjrekar","2024","http://link.springer.com/article/10.1007/s41870-023-01559-2","Article"
"FloBP: a model-driven approach for developing and executing IoT-enhanced business processes","Software and Systems Modeling","","","","10.1007/s10270-024-01150-8","Arianna FedeliFabrizio FornariAndrea PoliniBarbara ReVictoria TorresPedro Valderas","2024","http://link.springer.com/article/10.1007/s10270-024-01150-8","Article"
"A Survey of Software Dynamic Analysis Methods","Programming and Computer Software","","50","1","10.1134/S0361768824010079","V. V. Kuliamin","2024","http://link.springer.com/article/10.1134/S0361768824010079","Article"
"Formally verified bundling and appraisal of evidence for layered attestations","Innovations in Systems and Software Engineering","","19","4","10.1007/s11334-022-00475-1","Adam PetzPerry Alexander","2023","http://link.springer.com/article/10.1007/s11334-022-00475-1","Article"
"Assessing the usefulness of a visual programming IDE for large-scale automation software","Software and Systems Modeling","","22","5","10.1007/s10270-023-01084-7","Bianca WiesmayrAlois ZoitlRick Rabiser","2023","http://link.springer.com/article/10.1007/s10270-023-01084-7","Article"
"A comparative study on word embedding techniques for suicide prediction on COVID-19 tweets using deep learning models","International Journal of Information Technology","","15","6","10.1007/s41870-023-01338-z","Rohini KancharapuSri Nagesh A Ayyagari","2023","http://link.springer.com/article/10.1007/s41870-023-01338-z","Article"
"Empirical analysis of the tool support for software product lines","Software and Systems Modeling","","22","1","10.1007/s10270-022-01011-2","José Miguel HorcasMónica PintoLidia Fuentes","2023","http://link.springer.com/article/10.1007/s10270-022-01011-2","Article"
"An integrated approach for understanding global earthquake patterns and enhancing seismic risk assessment","International Journal of Information Technology","","16","4","10.1007/s41870-024-01778-1","Mariam IbrahimBaidaa Al-Bander","2024","http://link.springer.com/article/10.1007/s41870-024-01778-1","Article"
